"","Datum","PaNr","Tiefe","WLD","BLOCK","FRUFOL","Nduengung","Vord","TK","KULTUR1","Date","Jahr","Monat","Tiefe2","lnWLD","YearBlock","MainPlot"
"1",34870,11,15,2.542,"1","Gemüse","ohne N","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.932951172767262,"1995_1","1995_1_Gemüse"
"2",34870,11,30,2.712,"1","Gemüse","ohne N","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.997686370078149,"1995_1","1995_1_Gemüse"
"3",34870,11,45,0.855,"1","Gemüse","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.156653810045377,"1995_1","1995_1_Gemüse"
"4",34870,11,60,2.016,"1","Gemüse","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,0.701115350209122,"1995_1","1995_1_Gemüse"
"5",34870,11,75,0.302,"1","Gemüse","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.19732826160727,"1995_1","1995_1_Gemüse"
"6",34870,11,90,1.053,"1","Gemüse","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,0.0516432331518384,"1995_1","1995_1_Gemüse"
"7",34870,11,105,0.683,"1","Gemüse","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-0.381260419411347,"1995_1","1995_1_Gemüse"
"8",34870,11,120,0.518,"1","Gemüse","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-0.657780036722654,"1995_1","1995_1_Gemüse"
"9",34870,11,15,1.131,"1","Gemüse","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.123102197133983,"1995_1","1995_1_Gemüse"
"10",34870,11,30,2.212,"1","Gemüse","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.793897083660088,"1995_1","1995_1_Gemüse"
"11",34870,11,45,1.532,"1","Gemüse","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,0.4265740713184,"1995_1","1995_1_Gemüse"
"12",34870,11,60,1.182,"1","Gemüse","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,0.167207918983906,"1995_1","1995_1_Gemüse"
"13",34870,11,75,0.573,"1","Gemüse","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.556869562267398,"1995_1","1995_1_Gemüse"
"14",34870,11,90,0.234,"1","Gemüse","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.45243416362444,"1995_1","1995_1_Gemüse"
"15",34870,11,105,0.061,"1","Gemüse","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.79688141480883,"1995_1","1995_1_Gemüse"
"16",34870,11,120,0.009,"1","Gemüse","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-4.71053070164592,"1995_1","1995_1_Gemüse"
"17",34870,16,15,1.415,"1","Gemüse","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.347129531095201,"1995_1","1995_1_Gemüse"
"18",34870,16,30,3.011,"1","Gemüse","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,1.1022722494996,"1995_1","1995_1_Gemüse"
"19",34870,16,45,0.18,"1","Gemüse","ohne N","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.71479842809193,"1995_1","1995_1_Gemüse"
"20",34870,16,60,0.912,"1","Gemüse","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.0921152889078056,"1995_1","1995_1_Gemüse"
"21",34870,16,75,0.628,"1","Gemüse","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.465215112513938,"1995_1","1995_1_Gemüse"
"22",34870,16,90,0.128,"1","Gemüse","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.05572501506252,"1995_1","1995_1_Gemüse"
"23",34870,16,105,0.216,"1","Gemüse","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.53247687129797,"1995_1","1995_1_Gemüse"
"24",34870,16,120,0.14,"1","Gemüse","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.96611285637283,"1995_1","1995_1_Gemüse"
"25",34870,16,15,1.579,"1","Gemüse","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.456791735273505,"1995_1","1995_1_Gemüse"
"26",34870,16,30,1.313,"1","Gemüse","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.272314595320659,"1995_1","1995_1_Gemüse"
"27",34870,16,45,0.677,"1","Gemüse","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.390084006069862,"1995_1","1995_1_Gemüse"
"28",34870,16,60,0.86,"1","Gemüse","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.150822889734584,"1995_1","1995_1_Gemüse"
"29",34870,16,75,0.643,"1","Gemüse","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.441610554744518,"1995_1","1995_1_Gemüse"
"30",34870,16,105,0.212,"1","Gemüse","reduziert","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.55116900431012,"1995_1","1995_1_Gemüse"
"31",34870,16,120,0.153,"1","Gemüse","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.8773173575897,"1995_1","1995_1_Gemüse"
"32",34870,20,15,4.033,"1","Agrar","ohne N","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.39451051589123,"1995_1","1995_1_Agrar"
"33",34870,20,30,1.172,"1","Agrar","ohne N","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.158711691154821,"1995_1","1995_1_Agrar"
"34",34870,20,45,0.5,"1","Agrar","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.693147180559945,"1995_1","1995_1_Agrar"
"35",34870,20,60,0.125,"1","Agrar","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.07944154167984,"1995_1","1995_1_Agrar"
"36",34870,20,75,0.155,"1","Agrar","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.86433016206289,"1995_1","1995_1_Agrar"
"37",34870,20,90,0.216,"1","Agrar","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.53247687129797,"1995_1","1995_1_Agrar"
"38",34870,20,105,0.223,"1","Agrar","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.50058350752202,"1995_1","1995_1_Agrar"
"39",34870,20,120,0.162,"1","Agrar","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.82015894374975,"1995_1","1995_1_Agrar"
"40",34870,20,15,2.313,"1","Agrar","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.838545383249302,"1995_1","1995_1_Agrar"
"41",34870,20,30,2.259,"1","Agrar","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.814922237485866,"1995_1","1995_1_Agrar"
"42",34870,20,45,0.448,"1","Agrar","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.802962046567152,"1995_1","1995_1_Agrar"
"43",34870,20,60,1.058,"1","Agrar","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,0.0563803334361077,"1995_1","1995_1_Agrar"
"44",34870,20,75,0.18,"1","Agrar","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.71479842809193,"1995_1","1995_1_Agrar"
"45",34870,20,90,0.297,"1","Agrar","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.21402314017944,"1995_1","1995_1_Agrar"
"46",34870,20,105,0.122,"1","Agrar","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.10373423424888,"1995_1","1995_1_Agrar"
"47",34870,20,120,0.159,"1","Agrar","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.83885107676191,"1995_1","1995_1_Agrar"
"48",34870,23,15,0.969,"1","Agrar","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.0314906670913708,"1995_1","1995_1_Agrar"
"49",34870,23,30,1.758,"1","Agrar","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.564176799262985,"1995_1","1995_1_Agrar"
"50",34870,23,45,0.357,"1","Agrar","ohne N","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.0300194972025,"1995_1","1995_1_Agrar"
"51",34870,23,60,0.204,"1","Agrar","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.58963528513792,"1995_1","1995_1_Agrar"
"52",34870,23,75,0.202,"1","Agrar","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.59948758158093,"1995_1","1995_1_Agrar"
"53",34870,23,90,0.266,"1","Agrar","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.32425897020044,"1995_1","1995_1_Agrar"
"54",34870,23,105,0.195,"1","Agrar","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.63475572041839,"1995_1","1995_1_Agrar"
"55",34870,23,120,0.109,"1","Agrar","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-2.21640739675299,"1995_1","1995_1_Agrar"
"56",34870,23,15,2.071,"1","Agrar","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.728031582413447,"1995_1","1995_1_Agrar"
"57",34870,23,30,2.945,"1","Agrar","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,1.08010881710355,"1995_1","1995_1_Agrar"
"58",34870,23,45,0.122,"1","Agrar","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-2.10373423424888,"1995_1","1995_1_Agrar"
"59",34870,23,60,0.149,"1","Agrar","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.90380897303668,"1995_1","1995_1_Agrar"
"60",34870,23,75,0.232,"1","Agrar","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.46101790731583,"1995_1","1995_1_Agrar"
"61",34870,23,90,0.362,"1","Agrar","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.01611106715637,"1995_1","1995_1_Agrar"
"62",34870,23,105,0.125,"1","Agrar","reduziert","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.07944154167984,"1995_1","1995_1_Agrar"
"63",34870,23,120,0.205,"1","Agrar","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.58474529984373,"1995_1","1995_1_Agrar"
"64",34870,28,15,2.504,"2","Agrar","ohne N","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.917889453237852,"1995_2","1995_2_Agrar"
"65",34870,28,30,1.047,"2","Agrar","ohne N","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.0459289318883997,"1995_2","1995_2_Agrar"
"66",34870,28,45,0.381,"2","Agrar","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.964955903855436,"1995_2","1995_2_Agrar"
"67",34870,28,60,0.112,"2","Agrar","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.18925640768704,"1995_2","1995_2_Agrar"
"68",34870,28,75,0.172,"2","Agrar","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.76026080216868,"1995_2","1995_2_Agrar"
"69",34870,28,90,0.097,"2","Agrar","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.33304430047875,"1995_2","1995_2_Agrar"
"70",34870,28,105,0.02,"2","Agrar","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-3.91202300542815,"1995_2","1995_2_Agrar"
"71",34870,28,120,0.02,"2","Agrar","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.91202300542815,"1995_2","1995_2_Agrar"
"72",34870,28,15,1.884,"2","Agrar","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,0.633397176154171,"1995_2","1995_2_Agrar"
"73",34870,28,30,1.24,"2","Agrar","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.215111379616945,"1995_2","1995_2_Agrar"
"74",34870,28,45,0.179,"2","Agrar","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.72036947314138,"1995_2","1995_2_Agrar"
"75",34870,28,60,0.211,"2","Agrar","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.55589714550607,"1995_2","1995_2_Agrar"
"76",34870,28,75,0.531,"2","Agrar","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.632993257740198,"1995_2","1995_2_Agrar"
"77",34870,28,90,0.62,"2","Agrar","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-0.478035800943,"1995_2","1995_2_Agrar"
"78",34870,28,105,0.098,"2","Agrar","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.32278780031156,"1995_2","1995_2_Agrar"
"79",34870,28,120,0.027,"2","Agrar","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.61191841297781,"1995_2","1995_2_Agrar"
"80",34870,29,15,0.748,"2","Gemüse","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.29035230100766,"1995_2","1995_2_Gemüse"
"81",34870,29,30,1.79,"2","Gemüse","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.582215619852664,"1995_2","1995_2_Gemüse"
"82",34870,29,45,1.167,"2","Gemüse","ohne N","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,0.154436353304419,"1995_2","1995_2_Gemüse"
"83",34870,29,60,0.396,"2","Gemüse","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.926341067727656,"1995_2","1995_2_Gemüse"
"84",34870,29,75,0.176,"2","Gemüse","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.73727128394399,"1995_2","1995_2_Gemüse"
"85",34870,29,90,0.226,"2","Gemüse","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.48722027970985,"1995_2","1995_2_Gemüse"
"86",34870,29,105,0.11,"2","Gemüse","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.20727491318972,"1995_2","1995_2_Gemüse"
"87",34870,29,120,0.155,"2","Gemüse","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.86433016206289,"1995_2","1995_2_Gemüse"
"88",34870,29,15,3.47,"2","Gemüse","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.24415459395877,"1995_2","1995_2_Gemüse"
"89",34870,29,30,0.722,"2","Gemüse","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-0.325730140089311,"1995_2","1995_2_Gemüse"
"90",34870,29,45,0.599,"2","Gemüse","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.512493680866688,"1995_2","1995_2_Gemüse"
"91",34870,29,60,0.487,"2","Gemüse","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.719491155899547,"1995_2","1995_2_Gemüse"
"92",34870,29,75,0.144,"2","Gemüse","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.93794197940614,"1995_2","1995_2_Gemüse"
"93",34870,29,90,0.123,"2","Gemüse","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.09557092360972,"1995_2","1995_2_Gemüse"
"94",34870,29,105,0.128,"2","Gemüse","reduziert","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-2.05572501506252,"1995_2","1995_2_Gemüse"
"95",34870,29,120,0.101,"2","Gemüse","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-2.29263476214088,"1995_2","1995_2_Gemüse"
"96",34870,33,15,NA,"2","Gemüse","ohne N",NA,"15","WWeizen",1995-06-20,"1995","Jun",7.5,NA,"1995_2","1995_2_Gemüse"
"97",34870,33,30,NA,"2","Gemüse","ohne N",NA,"30","WWeizen",1995-06-20,"1995","Jun",22.5,NA,"1995_2","1995_2_Gemüse"
"98",34870,33,45,2.767,"2","Gemüse","ohne N","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,1.01776370080479,"1995_2","1995_2_Gemüse"
"99",34870,33,60,0.844,"2","Gemüse","ohne N","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-0.16960278438618,"1995_2","1995_2_Gemüse"
"100",34870,33,75,0.774,"2","Gemüse","ohne N","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.25618340539241,"1995_2","1995_2_Gemüse"
"101",34870,33,90,0.223,"2","Gemüse","ohne N","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.50058350752202,"1995_2","1995_2_Gemüse"
"102",34870,33,105,0.346,"2","Gemüse","ohne N","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.06131650392441,"1995_2","1995_2_Gemüse"
"103",34870,33,120,0.974,"2","Gemüse","ohne N","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-0.026343975339602,"1995_2","1995_2_Gemüse"
"104",34870,33,15,2.729,"2","Gemüse","normal","Offi","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.0039352417262,"1995_2","1995_2_Gemüse"
"105",34870,33,30,1.527,"2","Gemüse","normal","Offi","30","WWeizen",1995-06-20,"1995","Jun",22.5,0.423305026236495,"1995_2","1995_2_Gemüse"
"106",34870,33,45,0.537,"2","Gemüse","normal","Offi","45","WWeizen",1995-06-20,"1995","Jun",37.5,-0.621757184473272,"1995_2","1995_2_Gemüse"
"107",34870,33,60,0.213,"2","Gemüse","normal","Offi","60","WWeizen",1995-06-20,"1995","Jun",52.5,-1.54646311327271,"1995_2","1995_2_Gemüse"
"108",34870,33,75,1.391,"2","Gemüse","normal","Offi","75","WWeizen",1995-06-20,"1995","Jun",67.5,0.330022912941306,"1995_2","1995_2_Gemüse"
"109",34870,33,90,0.17,"2","Gemüse","normal","Offi","90","WWeizen",1995-06-20,"1995","Jun",82.5,-1.77195684193188,"1995_2","1995_2_Gemüse"
"110",34870,33,105,0.049,"2","Gemüse","normal","Offi","105","WWeizen",1995-06-20,"1995","Jun",97.5,-3.01593498087151,"1995_2","1995_2_Gemüse"
"111",34870,33,120,0.039,"2","Gemüse","normal","Offi","120","WWeizen",1995-06-20,"1995","Jun",112.5,-3.24419363285249,"1995_2","1995_2_Gemüse"
"112",34870,34,15,3.489,"2","Agrar","ohne N","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,1.24961516220464,"1995_2","1995_2_Agrar"
"113",34870,34,30,NA,"2","Agrar","ohne N","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,NA,"1995_2","1995_2_Agrar"
"114",34870,34,60,0.056,"2","Agrar","ohne N","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.88240358824699,"1995_2","1995_2_Agrar"
"115",34870,34,75,0.438,"2","Agrar","ohne N","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-0.825536368605691,"1995_2","1995_2_Agrar"
"116",34870,34,90,0.08,"2","Agrar","ohne N","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.52572864430826,"1995_2","1995_2_Agrar"
"117",34870,34,105,0.274,"2","Agrar","ohne N","Red","105","WWeizen",1995-06-20,"1995","Jun",97.5,-1.29462717259407,"1995_2","1995_2_Agrar"
"118",34870,34,120,0.168,"2","Agrar","ohne N","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-1.78379129957888,"1995_2","1995_2_Agrar"
"119",34870,34,15,0.774,"2","Agrar","reduziert","Red","15","WWeizen",1995-06-20,"1995","Jun",7.5,-0.25618340539241,"1995_2","1995_2_Agrar"
"120",34870,34,30,0.305,"2","Agrar","reduziert","Red","30","WWeizen",1995-06-20,"1995","Jun",22.5,-1.18744350237473,"1995_2","1995_2_Agrar"
"121",34870,34,45,0.35,"2","Agrar","reduziert","Red","45","WWeizen",1995-06-20,"1995","Jun",37.5,-1.04982212449868,"1995_2","1995_2_Agrar"
"122",34870,34,60,0.134,"2","Agrar","reduziert","Red","60","WWeizen",1995-06-20,"1995","Jun",52.5,-2.00991547903123,"1995_2","1995_2_Agrar"
"123",34870,34,75,0.189,"2","Agrar","reduziert","Red","75","WWeizen",1995-06-20,"1995","Jun",67.5,-1.66600826392249,"1995_2","1995_2_Agrar"
"124",34870,34,90,0.115,"2","Agrar","reduziert","Red","90","WWeizen",1995-06-20,"1995","Jun",82.5,-2.16282315061889,"1995_2","1995_2_Agrar"
"125",34870,34,120,0,"2","Agrar","reduziert","Red","120","WWeizen",1995-06-20,"1995","Jun",112.5,-Inf,"1995_2","1995_2_Agrar"
